@DATA SEED       4096
@T     980661 c 1
@T     981126 l 1
@T     981199 l 0
@T     981459 c 0
@T     992669 c 1
@T     993134 l 1
@T     993207 l 0
@T     993467 c 0
@T    1004920 c 1
@T    1005385 l 1
@T    1005458 l 0
@T    1005718 c 0
@T    1017016 c 1
@T    1017481 l 1
@T    1017554 l 0
@T    1017814 c 0
@T    1029317 c 1
@T    1029782 l 1
@T    1029855 l 0
@T    1030115 c 0
@T    1041514 c 1
@T    1041979 l 1
@T    1042052 l 0
@T    1042312 c 0
@T    1053697 c 1
@T    1054162 l 1
@T    1054235 l 0
@T    1054495 c 0
@T    1065718 c 1
@T    1066183 l 1
@T    1066256 l 0
@T    1066516 c 0
@T    1078020 c 1
@T    1078485 l 1
@T    1078558 l 0
@T    1078818 c 0
@T    1090427 c 1
@T    1090892 l 1
@T    1090965 l 0
@T    1091225 c 0
@T    1102724 c 1
@T    1103189 l 1
@T    1103262 l 0
@T    1103522 c 0
@T    1114731 c 1
@T    1115196 l 1
@T    1115269 l 0
@T    1115529 c 0
@T    1126981 c 1
@T    1127446 l 1
@T    1127519 l 0
@T    1127779 c 0
@T    1139282 c 1
@T    1139747 l 1
@T    1139820 l 0
@T    1140080 c 0
@T    1151479 c 1
@T    1151944 l 1
@T    1152017 l 0
@T    1152277 c 0
@T    1163780 c 1
@T    1164245 l 1
@T    1164318 l 0
@T    1164578 c 0
@T    1175940 c 1
@T    1176405 l 1
@T    1176478 l 0
@T    1176738 c 0
@T    1188242 c 1
@T    1188707 l 1
@T    1188780 l 0
@T    1189040 c 0
@T    1200649 c 1
@T    1201114 l 1
@T    1201187 l 0
@T    1201447 c 0
@T    1212946 c 1
@T    1213411 l 1
@T    1213484 l 0
@T    1213744 c 0
@T    1224953 c 1
@T    1225418 l 1
@T    1225491 l 0
@T    1225751 c 0
@T    1237136 c 1
@T    1237601 l 1
@T    1237674 l 0
@T    1237934 c 0
@T    1249157 c 1
@T    1249622 l 1
@T    1249695 l 0
@T    1249955 c 0
@T    1261354 c 1
@T    1261819 l 1
@T    1261892 l 0
@T    1262152 c 0
@T    1273514 c 1
@T    1273979 l 1
@T    1274052 l 0
@T    1274312 c 0
@T    1285674 c 1
@T    1286139 l 1
@T    1286212 l 0
@T    1286472 c 0
@T    1297976 c 1
@T    1298441 l 1
@T    1298514 l 0
@T    1298774 c 0
@T    1310383 c 1
@T    1310848 l 1
@T    1310921 l 0
@T    1311181 c 0
@T    1322680 c 1
@T    1323145 l 1
@T    1323218 l 0
@T    1323478 c 0
@T    1334863 c 1
@T    1335328 l 1
@T    1335401 l 0
@T    1335661 c 0
@T    1346884 c 1
@T    1347349 l 1
@T    1347422 l 0
@T    1347682 c 0
@T    1359185 c 1
@T    1359650 l 1
@T    1359723 l 0
@T    1359983 c 0
@T    1371382 c 1
@T    1371847 l 1
@T    1371920 l 0
@T    1372180 c 0
@T    1383542 c 1
@T    1384007 l 1
@T    1384080 l 0
@T    1384340 c 0
@T    1395702 c 1
@T    1396167 l 1
@T    1396240 l 0
@T    1396500 c 0
@T    1407862 c 1
@T    1408327 l 1
@T    1408400 l 0
@T    1408660 c 0
@T    1420164 c 1
@T    1420629 l 1
@T    1420702 l 0
@T    1420962 c 0
@T    1432571 c 1
@T    1433036 l 1
@T    1433109 l 0
@T    1433369 c 0
@T    1444754 c 1
@T    1445219 l 1
@T    1445292 l 0
@T    1445552 c 0
@T    1456775 c 1
@T    1457240 l 1
@T    1457313 l 0
@T    1457573 c 0
@T    1469076 c 1
@T    1469541 l 1
@T    1469614 l 0
@T    1469874 c 0
@T    1481002 c 1
@T    1481467 l 1
@T    1481540 l 0
@T    1481800 c 0
@T    1493058 c 1
@T    1493523 l 1
@T    1493596 l 0
@T    1493856 c 0
@T    1505204 c 1
@T    1505669 l 1
@T    1505742 l 0
@T    1506002 c 0
@T    1517364 c 1
@T    1517829 l 1
@T    1517902 l 0
@T    1518162 c 0
@T    1529524 c 1
@T    1529989 l 1
@T    1530062 l 0
@T    1530322 c 0
@T    1541684 c 1
@T    1542149 l 1
@T    1542222 l 0
@T    1542482 c 0
@T    1553986 c 1
@T    1554451 l 1
@T    1554524 l 0
@T    1554784 c 0
@T    1566393 c 1
@T    1566858 l 1
@T    1566931 l 0
@T    1567191 c 0
@T    1578496 c 1
@T    1579015 l 1
@T    1579088 l 0
@T    1579348 c 0
@T    1590592 c 1
@T    1591057 l 1
@T    1591130 l 0
@T    1591390 c 0
@T    1602648 c 1
@T    1603113 l 1
@T    1603186 l 0
@T    1603446 c 0
@T    1614794 c 1
@T    1615259 l 1
@T    1615332 l 0
@T    1615592 c 0
@T    1626954 c 1
@T    1627419 l 1
@T    1627492 l 0
@T    1627752 c 0
@T    1639114 c 1
@T    1639579 l 1
@T    1639652 l 0
@T    1639912 c 0
@T    1651274 c 1
@T    1651739 l 1
@T    1651812 l 0
@T    1652072 c 0
@T    1663576 c 1
@T    1664041 l 1
@T    1664114 l 0
@T    1664374 c 0
@T    1675679 c 1
@T    1676198 l 1
@T    1676271 l 0
@T    1676531 c 0
@T    1687837 c 1
@T    1688356 l 1
@T    1688429 l 0
@T    1688689 c 0
@T    1699933 c 1
@T    1700398 l 1
@T    1700471 l 0
@T    1700731 c 0
@T    1711975 c 1
@T    1712440 l 1
@T    1712513 l 0
@T    1712773 c 0
@T    1724031 c 1
@T    1724496 l 1
@T    1724569 l 0
@T    1724829 c 0
@T    1736177 c 1
@T    1736642 l 1
@T    1736715 l 0
@T    1736975 c 0
@T    1748337 c 1
@T    1748802 l 1
@T    1748875 l 0
@T    1749135 c 0
@T    1760497 c 1
@T    1760962 l 1
@T    1761035 l 0
@T    1761295 c 0
@T    1772423 c 1
@T    1772888 l 1
@T    1772961 l 0
@T    1773221 c 0
@T    1784526 c 1
@T    1785045 l 1
@T    1785118 l 0
@T    1785378 c 0
@T    1796684 c 1
@T    1797203 l 1
@T    1797276 l 0
@T    1797536 c 0
@T    1804182 c 1
@T    1804687 l 1
@T    1804760 l 0
@T    1805020 c 0
@T    1816190 c 1
@T    1816655 l 1
@T    1816728 l 0
@T    1816988 c 0
@T    1828232 c 1
@T    1828697 l 1
@T    1828770 l 0
@T    1829030 c 0
@T    1840274 c 1
@T    1840739 l 1
@T    1840812 l 0
@T    1841072 c 0
@T    1852330 c 1
@T    1852795 l 1
@T    1852868 l 0
@T    1853128 c 0
@T    1864476 c 1
@T    1864941 l 1
@T    1865014 l 0
@T    1865274 c 0
@T    1876636 c 1
@T    1877101 l 1
@T    1877174 l 0
@T    1877434 c 0
@T    1888562 c 1
@T    1889027 l 1
@T    1889100 l 0
@T    1889360 c 0
@T    1900665 c 1
@T    1901184 l 1
@T    1901257 l 0
@T    1901517 c 0
@T    1912823 c 1
@T    1913342 l 1
@T    1913415 l 0
@T    1913675 c 0
@T    1920321 c 1
@T    1920826 l 1
@T    1920899 l 0
@T    1921159 c 0
@T    1932451 c 1
@T    1932970 l 1
@T    1933043 l 0
@T    1933303 c 0
@T    1944385 c 1
@T    1944850 l 1
@T    1944923 l 0
@T    1945183 c 0
@T    1956353 c 1
@T    1956818 l 1
@T    1956891 l 0
@T    1957151 c 0
@T    1968395 c 1
@T    1968860 l 1
@T    1968933 l 0
@T    1969193 c 0
@T    1980437 c 1
@T    1980902 l 1
@T    1980975 l 0
@T    1981235 c 0
@T    1992493 c 1
@T    1992958 l 1
@T    1993031 l 0
@T    1993291 c 0
@T    2004639 c 1
@T    2005104 l 1
@T    2005177 l 0
@T    2005437 c 0
@T    2016742 c 1
@T    2017261 l 1
@T    2017334 l 0
@T    2017594 c 0
@T    2028900 c 1
@T    2029419 l 1
@T    2029492 l 0
@T    2029752 c 0
@T    2036398 c 1
@T    2036903 l 1
@T    2036976 l 0
@T    2037236 c 0
@T    2048528 c 1
@T    2049047 l 1
@T    2049120 l 0
@T    2049380 c 0
@T    2060743 c 1
@T    2061208 l 1
@T    2061281 l 0
@T    2061541 c 0
@T    2072623 c 1
@T    2073088 l 1
@T    2073161 l 0
@T    2073421 c 0
@T    2084591 c 1
@T    2085056 l 1
@T    2085129 l 0
@T    2085389 c 0
@T    2096633 c 1
@T    2097098 l 1
@T    2097171 l 0
@T    2097431 c 0
@T    2108675 c 1
@T    2109140 l 1
@T    2109213 l 0
@T    2109473 c 0
@T    2120778 c 1
