@DATA SEED       4096
@T      73900 l 0
@T      74082 l 1
@T      74155 l 0
@T      74377 l 1
@T      74450 l 0
@T      74672 l 1
@T      74745 l 0
@T      74967 l 1
@T      75040 l 0
@T      75262 l 1
@T      75335 l 0
@T      75517 l 1
@T      75590 l 0
@T      75772 l 1
@T      75845 l 0
@T      76027 l 1
@T      76100 l 0
@T      76282 l 1
@T      76355 l 0
@T      76537 l 1
@T      76610 l 0
@T      76792 l 1
@T      76865 l 0
@T      77087 l 1
@T      77160 l 0
@T      77382 l 1
@T      77455 l 0
@T      77677 l 1
@T      77750 l 0
@T      77972 l 1
@T      78045 l 0
@T      78227 l 1
@T      78300 l 0
@T      78482 l 1
@T      78555 l 0
@T      78737 l 1
@T      78810 l 0
@T      78992 l 1
@T      79065 l 0
@T      79247 l 1
@T      79320 l 0
@T      79542 l 1
@T      79615 l 0
@T      79837 l 1
@T      79910 l 0
@T      80132 l 1
@T      80205 l 0
@T      80427 l 1
@T      80500 l 0
@T      80722 l 1
@T      80795 l 0
@T      80977 l 1
@T      81050 l 0
@T      81232 l 1
@T      81305 l 0
@T      81487 l 1
@T      81560 l 0
@T      81742 l 1
@T      81815 l 0
@T      82037 l 1
@T      82110 l 0
@T      82332 l 1
@T      82405 l 0
@T      82627 l 1
@T      82700 l 0
@T      82922 l 1
@T      82995 l 0
@T      83177 l 1
@T      83250 l 0
@T      83432 l 1
@T      83505 l 0
@T      83687 l 1
@T      83760 l 0
@T      83942 l 1
@T      84015 l 0
@T      84197 l 1
@T      84270 l 0
@T      84452 l 1
@T      84525 l 0
@T      84707 l 1
@T      84780 l 0
@T      85002 l 1
@T      85075 l 0
@T      85297 l 1
@T      85370 l 0
@T      85592 l 1
@T      85665 l 0
@T      85847 l 1
@T      85920 l 0
@T      86102 l 1
@T      86175 l 0
@T      86357 l 1
@T      86430 l 0
@T      86612 l 1
@T      86685 l 0
@T      86867 l 1
@T      86940 l 0
@T      87162 l 1
@T      87235 l 0
@T      87417 l 1
@T      87490 l 0
@T      87672 l 1
@T      87745 l 0
@T      87927 l 1
@T      88000 l 0
@T      88182 l 1
@T      88255 l 0
@T      88437 l 1
@T      88510 l 0
@T      88692 l 1
@T      88765 l 0
@T      88947 l 1
@T      89020 l 0
@T      89242 l 1
@T      89315 l 0
@T      89537 l 1
@T      89610 l 0
@T      89792 l 1
@T      89865 l 0
@T      90047 l 1
@T      90120 l 0
@T      90302 l 1
@T      90375 l 0
@T      90557 l 1
@T      90630 l 0
@T      90812 l 1
@T      90885 l 0
@T      91067 l 1
@T      91140 l 0
@T      91322 l 1
@T      91395 l 0
@T      91577 l 1
@T      91650 l 0
@T      91872 l 1
@T      91945 l 0
@T      92127 l 1
@T      92200 l 0
@T      92382 l 1
@T      92455 l 0
@T      92637 l 1
@T      92710 l 0
@T      92892 l 1
@T      92965 l 0
@T      93147 l 1
@T      93220 l 0
@T      93402 l 1
@T      93475 l 0
@T      93657 l 1
@T      93730 l 0
@T      93912 l 1
@T      93985 l 0
@T      94167 l 1
@T      94240 l 0
@T      94422 l 1
@T      94495 l 0
@T      94677 l 1
@T      94750 l 0
@T      94932 l 1
@T      95005 l 0
@T      95187 l 1
@T      95260 l 0
@T      95442 l 1
@T      95515 l 0
@T      95697 l 1
@T      95770 l 0
@T      95952 l 1
@T      96025 l 0
@T      96207 l 1
@T      96280 l 0
@T      96462 l 1
@T      96535 l 0
@T      96757 l 1
@T      96830 l 0
@T      97012 l 1
@T      97085 l 0
@T      97267 l 1
@T      97340 l 0
@T      97522 l 1
@T      97595 l 0
@T      97777 l 1
@T      97850 l 0
@T      98032 l 1
@T      98105 l 0
@T      98327 l 1
@T      98400 l 0
@T      98622 l 1
@T      98695 l 0
@T      98877 l 1
@T      98950 l 0
@T      99132 l 1
@T      99205 l 0
@T      99387 l 1
@T      99460 l 0
@T      99642 l 1
@T      99715 l 0
@T      99897 l 1
@T      99970 l 0
@T     100152 l 1
@T     100225 l 0
@T     100447 l 1
@T     100520 l 0
@T     100742 l 1
@T     100815 l 0
@T     100997 l 1
@T     101070 l 0
@T     101252 l 1
@T     101325 l 0
@T     101507 l 1
@T     101580 l 0
@T     101762 l 1
@T     101835 l 0
@T     102017 l 1
@T     102090 l 0
@T     102272 l 1
@T     102345 l 0
@T     102527 l 1
@T     102600 l 0
@T     102822 l 1
@T     102895 l 0
@T     103117 l 1
@T     103190 l 0
@T     103412 l 1
@T     103485 l 0
@T     103667 l 1
@T     103740 l 0
@T     103922 l 1
@T     103995 l 0
@T     104177 l 1
@T     104250 l 0
@T     104432 l 1
@T     104505 l 0
@T     104687 l 1
@T     104760 l 0
@T     104942 l 1
@T     105015 l 0
@T     105197 l 1
@T     105270 l 0
@T     105492 l 1
@T     105565 l 0
@T     105787 l 1
@T     105860 l 0
@T     106082 l 1
@T     106155 l 0
@T     106337 l 1
@T     106410 l 0
@T     106592 l 1
@T     106665 l 0
@T     106847 l 1
@T     106920 l 0
@T     107102 l 1
@T     107175 l 0
@T     107357 l 1
@T     107430 l 0
@T     107612 l 1
@T     107685 l 0
@T     107867 l 1
@T     107940 l 0
@T     108162 l 1
@T     108235 l 0
@T     108457 l 1
@T     108530 l 0
@T     108752 l 1
@T     108825 l 0
@T     109047 l 1
@T     109120 l 0
@T     109342 l 1
@T     109415 l 0
@T     109597 l 1
@T     109670 l 0
@T     109852 l 1
@T     109925 l 0
@T     110107 l 1
@T     110180 l 0
@T     110362 l 1
@T     110435 l 0
@T     110617 l 1
@T     110690 l 0
@T     110872 l 1
@T     110945 l 0
@T     111127 l 1
@T     111200 l 0
@T     111382 l 1
@T     111455 l 0
@T     111637 l 1
@T     111710 l 0
@T     111932 l 1
@T     112005 l 0
@T     112227 l 1
@T     112300 l 0
@T     112482 l 1
@T     112555 l 0
@T     112737 l 1
@T     112810 l 0
@T     112992 l 1
@T     113065 l 0
@T     113247 l 1
@T     113320 l 0
@T     113502 l 1
@T     113575 l 0
@T     113757 l 1
@T     113830 l 0
@T     114012 l 1
@T     114085 l 0
@T     114267 l 1
@T     114340 l 0
@T     114522 l 1
@T     114595 l 0
@T     114817 l 1
@T     114890 l 0
@T     115072 l 1
@T     115145 l 0
@T     115327 l 1
@T     115400 l 0
@T     115582 l 1
@T     115655 l 0
@T     115837 l 1
@T     115910 l 0
@T     116092 l 1
@T     116165 l 0
@T     116347 l 1
@T     116420 l 0
@T     116602 l 1
@T     116675 l 0
@T     116857 l 1
@T     116930 l 0
@T     117152 l 1
@T     117225 l 0
@T     117407 l 1
@T     117480 l 0
@T     117662 l 1
@T     117735 l 0
@T     117917 l 1
@T     117990 l 0
@T     118172 l 1
@T     118245 l 0
@T     118427 l 1
@T     118500 l 0
@T     118682 l 1
@T     118755 l 0
@T     118937 l 1
@T     119010 l 0
@T     119192 l 1
@T     119265 l 0
@T     119447 l 1
@T     119520 l 0
@T     119702 l 1
@T     119775 l 0
@T     119957 l 1
@T     120030 l 0
@T     120212 l 1
@T     120285 l 0
@T     120467 l 1
@T     120540 l 0
@T     120722 l 1
@T     120795 l 0
@T     120977 l 1
@T     121050 l 0
@T     121232 l 1
@T     121305 l 0
@T     121487 l 1
@T     121560 l 0
@T     121742 l 1
@T     121815 l 0
@T     121997 l 1
@T     122070 l 0
@T     122252 l 1
@T     122325 l 0
@T     122507 l 1
@T     122580 l 0
@T     122762 l 1
@T     122835 l 0
@T     123017 l 1
@T     123090 l 0
@T     123272 l 1
@T     123345 l 0
@T     123527 l 1
@T     123600 l 0
@T     123782 l 1
@T     123855 l 0
@T     124037 l 1
@T     124110 l 0
@T     124292 l 1
@T     124365 l 0
@T     124547 l 1
@T     124620 l 0
@T     124802 l 1
@T     124875 l 0
@T     125057 l 1
@T     125130 l 0
@T     125312 l 1
@T     125385 l 0
@T     125567 l 1
@T     125640 l 0
@T     125822 l 1
@T     125895 l 0
@T     126077 l 1
@T     126150 l 0
@T     126332 l 1
@T     126405 l 0
@T     126587 l 1
@T     126660 l 0
@T     126842 l 1
@T     126915 l 0
@T     127097 l 1
@T     127170 l 0
@T     127352 l 1
@T     127425 l 0
@T     127607 l 1
@T     127680 l 0
@T     127862 l 1
@T     127935 l 0
@T     128117 l 1
@T     128190 l 0
@T     128372 l 1
@T     128445 l 0
@T     128627 l 1
@T     128700 l 0
@T     128882 l 1
@T     128955 l 0
@T     129137 l 1
@T     129210 l 0
@T     129392 l 1
@T     129465 l 0
@T     129647 l 1
@T     129720 l 0
@T     129902 l 1
@T     129975 l 0
@T     130157 l 1
@T     130230 l 0
@T     130412 l 1
@T     130485 l 0
@T     130667 l 1
@T     130740 l 0
@T     130922 l 1
@T     130995 l 0
@T     131177 l 1
@T     131250 l 0
@T     131432 l 1
@T     131505 l 0
@T     131687 l 1
@T     131760 l 0
@T     131942 l 1
@T     132015 l 0
@T     132197 l 1
@T     132270 l 0
@T     132452 l 1
@T     132525 l 0
@T     132707 l 1
@T     132780 l 0
@T     132962 l 1
@T     133035 l 0
@T     133217 l 1
@T     133290 l 0
@T     133472 l 1
@T     133545 l 0
@T     133727 l 1
@T     133800 l 0
@T     133982 l 1
@T     134055 l 0
@T     134237 l 1
@T     134310 l 0
@T     134492 l 1
@T     134565 l 0
@T     134747 l 1
@T     134820 l 0
@T     135002 l 1
@T     135075 l 0
@T     135257 l 1
@T     135330 l 0
@T     135512 l 1
@T     135585 l 0
@T     135767 l 1
@T     135840 l 0
@T     136022 l 1
@T     136095 l 0
@T     136277 l 1
@T     136350 l 0
@T     136532 l 1
@T     136605 l 0
@T     136787 l 1
@T     136860 l 0
@T     137042 l 1
@T     137115 l 0
@T     137297 l 1
@T     137370 l 0
@T     137552 l 1
@T     137625 l 0
@T     137807 l 1
@T     137880 l 0
@T     138062 l 1
@T     138135 l 0
@T     138317 l 1
@T     138390 l 0
@T     138572 l 1
@T     138645 l 0
@T     138827 l 1
@T     138900 l 0
@T     139082 l 1
@T     139155 l 0
@T     139337 l 1
@T     139410 l 0
@T     139592 l 1
@T     139665 l 0
@T     139847 l 1
@T     139920 l 0
@T     140102 l 1
@T     140175 l 0
@T     140357 l 1
@T     140430 l 0
@T     140612 l 1
@T     140685 l 0
@T     140867 l 1
@T     140940 l 0
@T     141122 l 1
@T     141195 l 0
@T     141377 l 1
@T     141450 l 0
@T     141632 l 1
@T     141705 l 0
@T     141887 l 1
@T     141960 l 0
@T     142142 l 1
@T     142215 l 0
@T     142397 l 1
@T     142470 l 0
@T     142652 l 1
@T     142725 l 0
@T     142907 l 1
@T     142980 l 0
@T     143162 l 1
@T     143235 l 0
@T     143417 l 1
@T     143490 l 0
@T     143672 l 1
@T     143745 l 0
@T     143927 l 1
@T     144000 l 0
@T     144182 l 1
@T     144255 l 0
@T     144437 l 1
@T     144510 l 0
@T     144692 l 1
@T     144765 l 0
@T     144947 l 1
@T     145020 l 0
@T     145202 l 1
@T     145275 l 0
@T     145457 l 1
@T     145530 l 0
@T     145712 l 1
@T     145785 l 0
@T     145967 l 1
@T     146040 l 0
@T     146222 l 1
@T     146295 l 0
@T     146477 l 1
@T     146550 l 0
@T     146732 l 1
@T     146805 l 0
@T     146987 l 1
@T     147060 m 0
@T     147214 a 0
@T     147393 a 1
@T     147464 m 1
@T     147510 k 1
@T     147533 n 0
@T     148398 n 1
@T     148421 g 1
@T     148494 g 0
@T     148517 h 0
@T     148540 i 0
@T     163579 e 0
@T     165307 e 1
@T     165419 i 1
@T     165466 h 1
@T     165489 j 0
@T     165895 b 0
@T     168505 b 1
@T     168586 j 1
@T     168609 k 0
@T     169366 l 0
@T     169548 l 1
@T     169621 l 0
@T     169803 l 1
@T     169876 l 0
@T     170058 l 1
@T     170131 l 0
@T     170313 l 1
@T     170386 l 0
@T     170568 l 1
@T     170641 l 0
@T     170823 l 1
@T     170896 l 0
@T     171078 l 1
@T     171151 l 0
@T     171333 l 1
@T     171406 l 0
@T     171588 l 1
@T     171661 l 0
@T     171843 l 1
@T     171916 l 0
@T     172098 l 1
@T     172171 l 0
@T     172353 l 1
@T     172426 l 0
@T     172608 l 1
@T     172681 l 0
@T     172863 l 1
@T     172936 l 0
@T     173118 l 1
@T     173191 l 0
@T     173373 l 1
@T     173446 l 0
@T     173628 l 1
@T     173701 l 0
@T     173883 l 1
@T     173956 l 0
@T     174138 l 1
@T     174211 l 0
@T     174393 l 1
@T     174466 l 0
@T     174648 l 1
@T     174721 l 0
@T     174903 l 1
@T     174976 l 0
@T     175158 l 1
@T     175231 l 0
@T     175413 l 1
@T     175486 l 0
@T     175668 l 1
@T     175741 l 0
@T     175923 l 1
@T     175996 l 0
@T     176178 l 1
@T     176251 l 0
@T     176433 l 1
@T     176506 l 0
@T     176688 l 1
@T     176761 l 0
@T     176943 l 1
@T     177016 l 0
@T     177198 l 1
@T     177271 l 0
@T     177453 l 1
@T     177526 l 0
@T     177708 l 1
@T     177781 l 0
@T     177963 l 1
@T     178036 l 0
@T     178218 l 1
@T     178291 l 0
@T     178473 l 1
@T     178546 l 0
@T     178728 l 1
@T     178801 l 0
@T     178983 l 1
@T     179056 l 0
@T     179238 l 1
@T     179311 l 0
@T     179493 l 1
@T     179566 l 0
@T     179748 l 1
@T     179821 l 0
@T     180003 l 1
@T     180076 l 0
@T     180258 l 1
@T     180331 l 0
@T     180513 l 1
@T     180586 l 0
@T     180768 l 1
@T     180841 l 0
@T     181023 l 1
@T     181096 l 0
@T     181278 l 1
@T     181351 l 0
@T     181533 l 1
@T     181606 l 0
@T     181788 l 1
@T     181861 l 0
@T     182043 l 1
@T     182116 l 0
@T     182298 l 1
@T     182371 l 0
@T     182553 l 1
@T     182626 l 0
@T     182808 l 1
@T     182881 l 0
@T     183063 l 1
@T     183136 l 0
@T     183318 l 1
@T     183391 l 0
@T     183573 l 1
@T     183646 l 0
@T     183828 l 1
